Event Name,Properties,Short Description of TRIGGER
web_product_tab_reviews_click,"product_id, tab_name",RCA: Social proof section access. Pre-events: Product view
web_product_tab_usage_click,"product_id, tab_name",RCA: Usage instruction access. Pre-events: Product view
web_search_otc_button_clear_click,previous_query,RCA: Search refinement and query reset patterns. Pre-events: Search submission
web_search_otc_button_filter_category_click,"otc_categories, search_query",RCA: Category-based search refinement. Pre-events: Search results view
web_search_otc_button_voice_click,search_type,RCA: Voice search adoption and accessibility usage. Pre-events: Search input focus
web_treatment_button_next_click,"current_step, total_steps",RCA: Treatment consultation progression and completion likelihood. Pre-events: Current step completion
web_treatment_button_previous_click,"current_step, total_steps",RCA: Information review and consultation refinement. Pre-events: Current step view
==> review-table-otc-brand-web.csv <==,,
web_otc_brand_banner_product_1_click,"brand_id, product_id, position",RCA: Featured product engagement from brand banner. Pre-events: Brand page view
web_otc_brand_banner_product_2_click,"brand_id, product_id, position",RCA: Featured product engagement from brand banner. Pre-events: Brand page view
web_otc_brand_banner_product_3_click,"brand_id, product_id, position",RCA: Featured product engagement from brand banner. Pre-events: Brand page view
web_otc_brand_all_products_load_more_click,"brand_id, current_product_count",RCA: Brand catalog exploration depth. Pre-events: View all products section
web_otc_brand_product_card_click,"brand_id, product_id, position, section",RCA: Product interest from brand page (sale vs all products). Pre-events: Brand page view
web_otc_brand_crm_subscribe_click,"brand_id, email",RCA: Brand-specific lead generation and newsletter opt-in. Pre-events: Scroll to CRM section
web_otc_brand_review_carousel_next_click,"brand_id, review_index",RCA: Trust signal engagement and social proof consumption. Pre-events: View review section
web_otc_brand_review_carousel_prev_click,"brand_id, review_index",RCA: Trust signal engagement and social proof consumption. Pre-events: View review section
web_otc_brand_breadcrumb_home_click,brand_id,RCA: Navigation pattern from brand page to homepage. Pre-events: Brand page view
web_otc_brand_breadcrumb_category_click,"brand_id, category_id",RCA: Navigation pattern from brand page to category. Pre-events: Brand page view
web_otc_brand_description_section_view,brand_id,RCA: Brand information engagement and credibility reading. Pre-events: Brand page view
==> review-table-otc-brand-mobile.csv <==,,
mobile_otc_brand_banner_product_click,"brand_id, product_id, position",RCA: Featured product engagement from brand banner (mobile). Pre-events: Brand page view
mobile_otc_brand_all_products_load_more_click,"brand_id, current_product_count",RCA: Brand catalog exploration depth (mobile). Pre-events: View all products section
mobile_otc_brand_product_card_click,"brand_id, product_id, position, section",RCA: Product interest from brand page (mobile). Pre-events: Brand page view
mobile_otc_brand_crm_subscribe_click,"brand_id, email",RCA: Brand-specific lead generation and newsletter opt-in (mobile). Pre-events: Scroll to CRM section
mobile_otc_brand_review_swipe,"brand_id, direction",RCA: Trust signal engagement via swipe gesture (mobile). Pre-events: View review section
==> review-table-bmi-calculator-web.csv <==,,
web_bmi_calculator_button_click,trigger_location,RCA: BMI calculator engagement trigger. Pre-events: Weight Loss category page view
web_bmi_calculator_popup_open,trigger_location,RCA: BMI calculator popup display and user interest. Pre-events: BMI calculator button click
web_bmi_calculator_popup_close,"bmi_calculated, close_method",RCA: BMI calculator abandonment or completion tracking. Pre-events: BMI calculator popup open
web_bmi_calculator_height_input,height_value,RCA: User input engagement and form completion progress. Pre-events: BMI calculator popup open
web_bmi_calculator_weight_input,weight_value,RCA: User input engagement and form completion progress. Pre-events: BMI calculator popup open
web_bmi_calculator_calculate_click,"height_value, weight_value",RCA: BMI calculation completion and result generation. Pre-events: Height and weight input
web_bmi_calculator_result_display,"bmi_value, bmi_category",RCA: BMI result visibility and category classification. Pre-events: Calculate button click
web_bmi_calculator_cta_start_consultation_click,"bmi_value, bmi_category, trigger_location",RCA: Conversion from BMI calculator to consultation funnel. Pre-events: BMI result display
web_bmi_calculator_static_section_view,section_name,RCA: SEO content engagement and information consumption. Pre-events: Weight Loss category page view
web_bmi_calculator_seo_content_scroll,scroll_depth,RCA: SEO content engagement depth and reading behavior. Pre-events: Static section view
==> review-table-bmi-calculator-mobile.csv <==,,
mobile_bmi_calculator_button_click,trigger_location,RCA: BMI calculator engagement trigger (mobile). Pre-events: Weight Loss category page view
mobile_bmi_calculator_popup_open,trigger_location,RCA: BMI calculator popup display and user interest (mobile). Pre-events: BMI calculator button click
mobile_bmi_calculator_popup_close,"bmi_calculated, close_method",RCA: BMI calculator abandonment or completion tracking (mobile). Pre-events: BMI calculator popup open
mobile_bmi_calculator_height_input,height_value,RCA: User input engagement and form completion progress (mobile). Pre-events: BMI calculator popup open
mobile_bmi_calculator_weight_input,weight_value,RCA: User input engagement and form completion progress (mobile). Pre-events: BMI calculator popup open
mobile_bmi_calculator_calculate_click,"height_value, weight_value",RCA: BMI calculation completion and result generation (mobile). Pre-events: Height and weight input
mobile_bmi_calculator_result_display,"bmi_value, bmi_category",RCA: BMI result visibility and category classification (mobile). Pre-events: Calculate button click
mobile_bmi_calculator_cta_start_consultation_click,"bmi_value, bmi_category, trigger_location",RCA: Conversion from BMI calculator to consultation funnel (mobile). Pre-events: BMI result display
==> review-table-information-pages-web.csv <==,,
web_information_page_cta_click,"page_type, cta_type, page_id",RCA: Conversion from information pages to main funnel. Pre-events: Information page view
web_information_page_faq_accordion_open,"page_type, faq_id, page_id",RCA: FAQ engagement and information seeking behavior. Pre-events: Information page view
web_information_page_faq_accordion_close,"page_type, faq_id, page_id",RCA: FAQ content consumption completion. Pre-events: FAQ accordion open
web_information_page_section_scroll,"page_type, section_name, scroll_depth, page_id",RCA: Content engagement depth and reading behavior. Pre-events: Information page view
web_information_page_link_click,"page_type, link_destination, page_id",RCA: Cross-page navigation and information architecture usage. Pre-events: Information page view
web_shipping_page_method_card_click,shipping_method,RCA: Shipping option interest and delivery preference. Pre-events: Shipping page view
web_shipping_page_tracking_info_click,,RCA: Shipping tracking information access. Pre-events: Shipping page view
web_about_us_press_mention_click,press_source,RCA: Press coverage engagement and external credibility verification. Pre-events: About Us page view
web_error_page_home_click,"error_type, error_code",RCA: Error recovery and user retention from error pages. Pre-events: Error page view
web_error_page_help_click,"error_type, error_code",RCA: Support need identification from error pages. Pre-events: Error page view
web_error_page_refresh_click,"error_type, error_code",RCA: Error recovery attempt (for 500/502 errors). Pre-events: Error page view
==> review-table-information-pages-mobile.csv <==,,
mobile_information_page_cta_click,"page_type, cta_type, page_id",RCA: Conversion from information pages to main funnel (mobile). Pre-events: Information page view
mobile_information_page_faq_accordion_open,"page_type, faq_id, page_id",RCA: FAQ engagement and information seeking behavior (mobile). Pre-events: Information page view
mobile_information_page_faq_accordion_close,"page_type, faq_id, page_id",RCA: FAQ content consumption completion (mobile). Pre-events: FAQ accordion open
mobile_information_page_section_scroll,"page_type, section_name, scroll_depth, page_id",RCA: Content engagement depth and reading behavior (mobile). Pre-events: Information page view
mobile_information_page_link_click,"page_type, link_destination, page_id",RCA: Cross-page navigation and information architecture usage (mobile). Pre-events: Information page view
mobile_shipping_page_method_card_click,shipping_method,RCA: Shipping option interest and delivery preference (mobile). Pre-events: Shipping page view
mobile_error_page_home_click,"error_type, error_code",RCA: Error recovery and user retention from error pages (mobile). Pre-events: Error page view
mobile_error_page_help_click,"error_type, error_code",RCA: Support need identification from error pages (mobile). Pre-events: Error page view
